X1,X2,G
0.23823,-1.0046,1
0.62077,-0.13302,0
0.93258,-0.11193,0
-0.30533,1.9419,1
1.0263,0.73083,0
0.16319,-0.14427,1
1.7802,0.2911,0
1.6067,-0.63114,0
1.1836,2.3963,1
2.6172,0.37951,0
1.2771,0.022087,0
1.3342,-0.55363,1
-0.91574,-0.47095,1
1.5365,-0.80246,0
1.1334,1.1536,0
0.72272,-0.14411,0
2.6774,0.21639,0
1.3994,2.4481,1
-1.652,0.14623,1
2.0267,-0.70876,0
1.8485,1.4808,1
-0.19316,2.1097,1
1.7503,1.9591,0
-0.71532,0.15091,1
1.1193,0.29532,0
1.6891,0.635,1
1.5795,0.6066,0
1.194,0.16253,1
0.69962,-1.4476,1
2.064,-0.80728,0
0.083998,0.61894,0
0.88043,0.39983,0
-0.18971,2.3177,1
0.57775,-0.48826,1
0.56014,-0.9051,0
1.5011,-0.10698,0
-1.5658,0.381,1
2.9032,0.12483,0
1.791,1.0222,1
-0.90188,-0.51897,1
0.84309,-0.32501,1
0.38187,0.87884,1
-1.7174,0.53411,1
1.1063,-0.94716,1
-0.64177,0.27394,1
1.3537,0.48466,1
0.64869,-1.2342,0
-0.0090112,2.1275,1
2.9275,-0.071662,0
0.26457,0.20588,1
-0.038935,1.2447,1
2.6789,-0.83439,0
2.1122,0.74248,0
1.2504,0.86783,1
-1.6501,0.40578,1
1.0018,-0.8422,0
0.031531,1.5372,1
1.3286,0.573,1
-0.27598,0.83957,1
0.099771,0.14743,0
1.6727,2.6862,1
-0.0092276,0.56132,1
1.512,0.15568,1
0.052696,1.5245,1
0.49948,-1.148,0
1.1243,-0.16675,1
-0.016138,0.95744,1
-1.8149,0.68994,1
0.70251,-0.36052,0
2.7063,-0.34686,0
1.5061,0.80141,0
0.67377,-0.016302,1
-0.76921,0.49761,1
2.3058,0.78318,1
2.0417,-1.279,0
0.56862,2.0502,1
-0.40983,0.48142,1
-1.4491,-0.39166,1
2.604,0.2958,0
-0.41638,0.84771,1
1.0949,-0.56856,0
-0.18418,0.98352,1
0.091475,0.76251,1
1.4105,-0.34338,0
0.90243,-1.3445,1
-0.020485,-0.31162,1
0.91677,-0.59443,0
1.3839,1.52,0
-0.80142,-1.5614,1
1.6609,-0.069164,0
-0.20007,0.02207,1
0.59068,0.86514,1
-1.4196,0.87036,1
-0.46131,1.2449,1
-0.36348,1.6053,0
2.4172,1.1316,0
-1.0517,1.6583,0
1.0605,0.95574,0
1.2358,1.0381,1
0.20758,-1.9399,1
0.723,-0.53449,1
-0.50282,-0.75423,1
0.95828,-0.46958,0
1.425,1.1134,0
1.4965,-0.011257,0
1.8498,-0.51824,0
0.018109,-0.38716,0
1.2629,0.77094,1
2.3451,0.83606,0
1.494,-0.57726,0
1.3165,0.83478,0
0.46552,0.65497,1
0.36857,-0.95686,1
0.56939,0.77461,1
3.0007,-0.81307,0
-0.18097,0.3378,1
1.3069,-0.25953,0
1.0467,0.59104,0
1.0185,0.28925,1
2.1172,1.3995,0
2.2777,-0.39243,0
0.72438,-0.6166,0
3.2404,-0.44939,0
-0.018109,0.96354,1
-0.683,1.1337,0
2.3534,0.22283,0
-0.3272,0.4209,0
0.023451,0.42653,1
-0.050756,0.19386,0
-0.42073,0.2649,1
-0.12407,0.18577,1
1.4772,1.0431,0
0.20148,0.94029,1
1.9208,0.26981,0
1.686,0.58228,0
-0.19399,1.0006,1
1.8857,0.35872,1
0.45874,1.0046,0
0.53006,-0.0015167,1
2.09,-0.20618,0
2.3678,-1.4514,0
1.436,0.74722,1
-0.014224,2.708,1
0.83058,-0.10346,1
0.65459,0.75283,1
-1.1801,1.1642,1
-0.085137,0.58138,1
1.8405,0.0063991,0
0.37571,0.3452,1
1.576,-0.034211,0
1.1006,-0.11119,0
1.477,0.51615,1
0.94455,0.99018,0
-1.3854,-0.27553,1
1.7661,1.8571,1
2.5536,0.46061,0
-0.3726,0.57783,1
2.2381,1.3193,1
1.067,0.35948,0
1.9361,0.69403,1
1.1,1.8658,1
-0.31002,0.31307,0
-0.10877,-0.14153,1
2.3951,0.59945,0
0.28211,0.67177,1
1.2707,-0.42262,1
-0.49833,-0.17213,1
1.5804,-0.40051,0
-1.0091,2.2685,1
1.3259,0.21843,0
-0.20662,1.521,1
2.4393,1.2558,0
1.2673,0.5538,0
1.0153,-0.16335,1
-1.0456,0.40045,1
1.1972,0.42322,0
2.8058,-0.50241,0
2.7084,0.23221,0
-0.46131,0.45278,1
-0.35818,1.0561,1
0.90952,0.43195,0
2.8314,-0.39848,0
-1.1412,-0.43836,1
1.3027,-0.36672,0
0.77918,-1.2125,0
1.0815,-0.59105,1
0.21231,1.1387,0
2.74,-0.36665,0
2.2263,-1.0219,0
2.5682,-0.54343,0
-0.24312,0.95934,1
0.5862,1.8625,1
-0.51146,2.0957,1
0.83353,1.4918,0
0.79927,0.71279,1
1.1933,0.91395,1
-0.19637,0.40535,0
1.9963,-0.72463,1
0.80614,0.1665,1
2.2652,-0.1041,1
0.33336,-0.65418,1
-1.2857,2.2274,1
1.026,0.12278,0
0.99652,1.1144,1
-1.4847,0.94497,1
0.53337,2.2383,0
0.18409,-0.10025,1
2.0663,-0.54073,1
0.27739,-0.23794,1
0.69033,2.1728,1
1.169,-0.49976,0
-0.22488,2.1832,1
1.8192,1.5536,0
0.81643,-0.41617,1
0.68789,2.4585,0
2.8335,-0.53258,0
2.3019,-0.57297,0
0.32984,0.52377,1
0.66329,0.26953,0
0.66059,0.10955,1
3.0902,-0.50656,0
0.061185,0.31386,1
3.3577,1.8967,0
1.9166,0.49638,0
0.22941,1.603,1
1.2091,-0.61133,1
1.8381,-0.71018,0
0.55608,-0.032883,1
0.86018,-0.075967,0
-0.66136,-0.59753,1
0.50068,2.1166,1
1.5183,0.27937,0
0.53261,-0.49132,0
-0.30046,1.4414,1
1.6352,-0.94325,0
-1.2011,1.8608,1
0.12671,1.0634,1
0.93313,0.73198,1
0.15292,-0.090963,1
1.3013,0.083114,1
-0.516,0.090303,1
-0.35212,1.4982,1
0.23466,-0.48158,0
1.1234,1.3807,1
1.9436,0.91612,0
1.215,1.1007,1
1.0578,0.52658,1
1.3043,-0.47402,1
1.3024,-0.43447,0
1.5716,-0.50858,0
1.9523,-0.89747,0
1.7426,-0.60836,0
1.2265,2.6505,1
-0.05819,-0.91312,0
-0.035712,1.3275,1
1.2207,-0.29601,0
1.0315,2.267,0
-0.36058,0.99211,1
-0.63259,0.9662,1
1.4516,0.338,0
0.69015,0.62557,1
1.179,-0.10199,1
0.20756,0.40501,1
2.2755,1.1359,0
2.0541,1.5345,0
-2.1293,0.15586,1
-0.094904,0.78711,1
0.44152,-0.56779,0
0.76922,2.8626,0
1.3116,0.86051,0
2.1346,-1.9637,0
1.2495,-0.50514,0
1.261,0.38458,1
0.67588,-0.42556,1
0.56962,2.5259,1
0.40453,0.66633,1
-0.15422,0.84173,1
0.56693,0.26614,0
0.84483,-0.85686,1
0.38916,-0.36862,0
0.84726,0.92956,1
1.493,1.0131,1
1.2227,0.45688,1
-0.73171,0.15812,1
0.91764,0.4814,0
1.569,0.60812,0
1.117,0.99269,1
-0.023947,0.34395,1
2.1089,1.5917,1
-0.41536,-0.33605,1
0.95617,2.1487,0
-1.8671,0.8693,1
1.6329,-0.093151,0
0.68213,-0.19141,1
1.3801,0.91058,0
1.3895,-1.5146,0
0.77579,1.118,1
0.4097,-0.80112,1
1.4167,0.8244,1
2.723,0.55125,0
-1.0848,1.3477,1
2.182,0.57606,1
3.5089,0.074832,0
2.4338,0.24533,0
1.7604,1.2119,0
0.64744,1.4684,1
0.87314,0.96225,1
-0.53043,0.28221,1
-0.39619,0.67253,1
-0.62786,0.71915,0
0.85314,1.3272,1
2.7909,-0.6769,0
1.259,-0.34987,0
-0.54921,0.7128,1
1.2984,0.27647,0
0.59392,-1.5139,0
0.60741,1.9253,1
0.52675,0.315,1
0.029078,1.1635,1
1.2821,0.46924,0
3.1239,0.4122,0
2.1147,0.2571,0
2.6146,0.051953,1
2.5819,-1.644,0
0.090924,0.87132,1
0.068876,0.50984,1
0.39534,-0.3114,0
0.38769,1.1147,1
2.5019,-0.23171,0
0.95408,0.91641,0
1.4982,-0.29616,0
3.2112,-1.0107,0
-1.2336,0.70439,1
1.4141,-1.3586,0
-0.48752,0.048237,1
3.0487,-0.78303,0
0.65092,-0.63366,1
-0.10904,0.01081,1
2.0243,2.105,0
0.35367,1.427,1
3.2066,-0.50822,0
0.39267,-0.266,1
0.90148,0.48166,0
-0.66903,-0.055989,1
3.1573,1.1743,0
1.1754,0.45063,1
-0.042082,0.086907,1
0.68125,0.085583,0
0.23586,0.57413,1
1.0521,-1.0724,0
1.3247,1.0535,0
1.3183,0.94835,1
-0.023945,0.87164,1
0.68699,0.65816,0
0.54419,0.57895,1
1.0973,0.12687,0
2.4349,0.63276,0
1.7129,1.2746,1
1.4165,0.3869,1
-0.25262,1.9897,1
1.8649,0.82172,1
1.1267,0.12377,0
1.7488,0.29378,0
-0.086289,0.92348,1
1.4401,-0.4343,0
0.40824,2.308,1
-0.16653,0.20988,1
0.27601,0.62259,1
0.86442,1.152,1
0.37716,-0.70489,1
0.95618,-0.24331,1
1.3307,1.011,1
1.3281,1.6291,1
2.0507,0.23923,0
0.26853,1.4218,1
0.27144,-0.92375,0
0.96135,1.813,0
1.6588,1.3854,1
0.22096,1.9241,1
-0.61914,0.6832,1
0.93556,-0.29719,1
0.9402,0.064026,0
2.0613,-0.51611,0
1.106,-0.099523,1
0.073831,-1.2721,0
2.3655,1.0326,0
-0.50041,0.98298,1
1.7544,1.0926,1
0.71853,0.067652,1
0.8102,1.0561,1
0.82675,-0.048381,0
0.9978,2.0598,0
0.027464,-0.25984,1
0.13167,0.37453,1
-0.096422,0.49459,0
2.3956,1.5104,1
-0.027399,2.7392,1
1.3146,0.58044,0
0.50416,-0.58198,1
0.52397,0.19356,0
2.6541,-1.0147,1
-0.14255,-0.3712,1
1.8583,0.94101,0
-0.28839,-0.62867,1
1.8018,0.85517,0
1.9316,-1.3881,0
1.2302,1.1973,1
-0.39595,0.46218,1
-0.42314,-1.0141,1
0.32147,-0.57731,0
1.5902,-1.7377,0
2.9241,-0.54387,0
0.9003,-0.6631,0
1.5492,0.15331,0
0.98431,0.51424,1
0.91479,-0.61949,0
0.58937,-1.1425,1
-0.11035,-0.32805,1
-1.35,2.5792,1
0.59703,1.9173,1
-0.11138,-0.082242,1
0.2312,-0.072626,0
0.97294,1.1903,1
2.1665,0.90998,0
1.5354,0.11491,1
0.10069,-0.064469,1
0.49459,0.56751,1
1.1689,0.75535,1
0.84038,1.4173,1
-0.049473,1.0142,0
0.64411,0.78811,1
0.61368,-0.40707,1
4.0914,-1.7007,0
1.927,0.9645,0
0.71111,-0.099418,0
3.1246,-1.1732,0
0.7293,-1.2168,0
0.16536,1.5392,1
0.7431,0.85249,1
-0.04448,-0.89396,1
0.46929,-0.6689,0
-0.40503,1.5715,1
0.67153,0.12033,1
1.1734,1.5128,0
1.139,1.0495,1
-0.32317,-0.55011,1
0.51384,0.80517,1
2.1192,-0.067519,0
0.67026,-1.7224,0
0.79214,0.069691,0
0.83988,-0.86154,0
-0.24945,0.48689,1
0.78038,0.74712,0
-0.13497,2.3032,1
1.7067,-0.1587,0
1.9239,-0.036396,0
-0.53889,0.83007,1
2.5581,-0.31944,0
2.8305,1.6504,1
-0.1682,1.6478,1
1.098,1.5498,0
1.1189,0.14823,0
2.0906,-0.037516,0
0.032704,0.15878,1
2.4213,0.072883,0
-1.6456,0.27861,1
1.5083,0.20635,1
2.7246,0.92453,1
-0.63996,0.010774,1
-0.97593,-0.18459,1
1.5586,-0.82983,0
-0.33048,2.3871,1
1.4492,1.5344,1
3.0037,-1.427,0
-0.39749,0.62667,1
1.9437,-0.47324,0
1.2887,0.41696,1
0.4724,-0.030756,1
1.8981,-0.63963,0
0.20969,2.0223,1
-0.8094,1.1256,1
0.17703,-0.4003,1
0.54095,1.566,1
0.31403,-0.96275,0
-0.08876,1.0562,1
3.5514,-0.11312,0
0.78709,1.5172,0
1.5091,0.52844,0
3.2149,-0.67904,0
0.93994,0.25611,0
-0.7775,1.0098,0
2.7856,1.073,0
0.97222,-0.12994,1
-1.5021,-0.12583,1
-1.2371,0.30909,1
0.2401,0.18408,1
3.0358,-0.19564,0
3.1547,-0.58304,0
0.30408,0.82092,1
0.54451,0.2452,1
0.4166,0.086087,1
1.9813,-0.81297,0
0.64971,1.3444,0
1.7442,-0.6645,0
-0.51058,-0.25217,1
0.97158,1.8139,1
-1.4236,1.4009,1
1.6715,0.67762,0
0.8121,1.2482,0
0.14339,-0.17745,1
-0.26575,0.13632,1
0.39975,2.0914,1
-0.038134,0.68913,0
1.4007,-0.089931,0
0.20086,0.60623,1
2.6788,1.4895,0
2.4055,0.17395,0
1.0613,-0.5927,0
1.9825,-1.7842,0
-0.079256,0.58903,1
0.79046,-1.139,0
2.8269,0.50966,0
-1.8414,1.9534,1
0.31027,-0.26507,0
1.8506,0.65833,0
2.504,0.017561,0
1.2473,0.05431,0
1.4603,1.026,1
1.7069,0.28586,0
1.4967,-0.34862,1
0.16423,1.157,1
1.9913,-0.63913,0
1.3254,-0.93434,0
1.0673,1.5602,1
1.9728,-2.0683,0
0.79855,1.5189,1
1.6876,-1.7688,0
0.027535,-0.0073812,1
1.3325,1.0371,1
0.99774,0.58704,0
3.4749,0.71007,0
2.6542,0.74453,0
1.7603,0.13268,1
1.3045,1.7276,1
3.0855,1.8166,0
0.78165,0.66156,1
2.1022,1.462,1
3.2377,0.62167,0
2.1327,0.046276,0
1.7162,1.4679,1
2.7111,0.77314,0
1.0064,2.8415,0
1.5265,0.49903,0
1.0176,1.5051,0
0.91046,-0.40057,0
1.027,-0.1681,0
1.0046,-0.75795,0
1.1919,0.6761,0
0.5918,2.2255,1
0.54161,-0.60596,1
1.7744,-0.78228,0
1.8032,0.62344,0
2.6373,0.54201,0
0.10776,1.4587,1
2.2458,-0.38685,0
2.1885,-0.94094,0
-0.41905,-0.42956,0
1.5422,0.87161,0
0.82737,-0.74848,0
1.5758,0.17893,0
-0.056469,1.1212,1
3.3744,-0.34364,0
0.36822,0.28792,1
0.71853,-0.97859,0
1.3788,-0.014083,0
1.034,0.39391,0
0.17317,0.8783,1
2.1989,-0.55971,0
0.1868,-0.35003,1
0.56127,1.6252,0
2.2843,-0.18607,0
0.87819,-0.12168,1
1.4197,0.4507,0
0.25209,1.3248,1
1.5179,1.13,1
-0.17192,-0.23723,1
0.92777,-0.82005,0
1.6854,-0.53,1
-0.067417,-0.62152,1
1.696,-0.043113,0
2.3155,1.5981,0
-0.33886,-1.1468,0
0.47122,0.29889,1
1.9209,-0.050057,0
-0.28123,-0.77184,1
0.89534,0.45709,1
-0.14406,1.1273,1
1.2203,0.84967,0
-0.04462,1.0357,1
1.8071,-1.3979,0
1.349,0.61933,0
-1.1794,2.3057,1
0.51312,0.58253,1
-0.87038,-0.096502,1
2.0402,-1.0635,0
0.10222,0.48961,1
0.32685,0.62531,1
0.24888,1.4399,1
2.155,0.071028,0
1.4868,0.3005,0
0.25268,1.5533,1
1.4175,0.60886,0
0.67547,1.2244,1
1.3064,-0.86089,1
1.2885,-0.57586,0
0.14652,1.293,1
0.23297,0.78004,1
0.65231,0.66662,1
-0.073463,1.3441,0
0.98252,-0.94097,0
-0.48049,-0.30303,0
-1.9579,1.5418,1
1.1713,-0.012512,0
-1.4159,-0.34284,1
0.47253,-0.5936,0
0.36161,-1.5976,1
1.5723,0.50871,1
0.2757,1.2583,1
0.71412,3.0169,1
0.32596,0.59977,0
0.60876,1.2571,1
1.8524,-0.4424,0
0.61931,0.53276,1
1.2446,-0.17827,0
0.42481,-0.64762,0
-0.85541,1.846,1
0.85658,0.87697,0
0.46883,-0.6441,1
2.1964,0.19164,0
1.3715,0.1225,0
-1.1223,1.077,1
1.8379,-0.073108,0
0.89213,0.60626,1
1.2855,0.9034,1
1.4677,0.20487,0
1.1372,0.49332,0
3.3897,-0.24473,0
1.5906,-0.86462,0
0.79874,0.57205,0
-1.5854,0.94842,1
0.54023,-0.94856,0
2.9246,-1.2954,0
-0.0081603,-0.9429,0
1.4764,0.5753,0
0.55804,1.1176,0
0.95025,-0.36695,0
2.4575,0.99583,0
1.2399,-0.023922,1
1.1422,-0.67349,0
2.2834,0.082905,0
0.67178,0.082713,1
1.7854,-0.62686,0
0.22904,0.30931,1
-0.3591,-0.89751,1
0.4198,-0.84015,1
0.67643,-0.035786,1
0.30431,1.1064,1
0.48055,-0.34941,0
2.4552,0.024788,0
-0.50367,-0.055402,1
2.3108,-1.4798,0
3.4932,0.65535,0
1.1629,0.92541,1
-0.76321,3.1993,1
-0.23782,0.57016,1
0.79803,1.4968,1
-0.91122,2.1605,1
0.14948,-0.023429,1
0.95131,0.55983,1
-0.65287,0.75021,1
-0.37636,1.3956,1
-0.50826,0.94888,1
0.53428,0.41108,0
0.42462,-0.86599,0
0.20683,0.88892,1
1.7979,0.71062,0
1.2435,0.55682,1
2.3467,-0.506,0
0.91542,-0.86669,1
-0.23365,0.38186,0
1.178,-0.067131,0
1.598,-0.00050261,0
2.1264,0.9515,0
1.3852,-1.0693,0
0.28472,-0.70797,1
0.74053,1.0233,1
2.2311,0.38384,1
-1.51,1.2118,1
0.5315,0.3064,1
1.7054,1.0018,0
1.5867,0.29131,0
0.58291,-1.7269,0
-0.91926,1.3904,1
2.4072,1.1489,0
1.978,0.99091,0
0.80023,-0.5724,0
2.2847,0.96074,0
-0.19076,0.31403,1
0.98591,0.39366,0
0.36881,-0.43958,1
0.7995,0.72232,1
-0.37893,0.42462,1
2.4564,0.35688,0
0.97859,1.8182,1
2.2,0.99313,1
-0.54401,0.88259,1
0.2115,0.80257,1
1.101,1.49,0
1.8389,0.4295,0
0.2103,2.2207,1
-0.063988,-0.94578,0
2.0301,-0.33914,1
0.22833,2.0045,1
2.0622,-0.88145,0
1.3399,-0.025789,0
0.2172,-0.28994,0
0.69614,0.16563,0
0.65379,0.23352,1
-0.67762,0.78654,1
-0.07949,-0.37502,1
0.12095,1.0051,1
1.5521,0.86813,1
2.1484,0.49324,0
1.2099,-0.35332,0
0.58278,0.46453,1
1.7195,2.2882,0
1.6163,0.46713,0
-0.50863,1.6059,0
0.058539,1.0954,1
-0.61902,2.3103,1
0.58948,-0.77216,0
0.48877,1.9512,1
2.4966,-0.34688,0
2.2328,0.33858,0
-0.92893,1.1512,1
1.4714,-0.30412,0
1.2269,0.63236,0
-0.49697,1.2461,1
0.059446,1.1933,1
0.93046,1.7334,1
1.5564,0.9681,1
-0.042543,-0.197,1
2.1775,-0.12455,1
0.44389,1.0581,1
-0.65001,-1.0337,1
2.4565,0.77361,0
1.2648,-0.99503,0
1.3785,-0.8771,0
-0.1411,1.5682,1
1.9362,-1.9306,0
0.22273,1.2423,1
2.002,-0.68331,0
1.3474,1.2127,0
-1.0738,1.7422,1
1.7071,1.1919,1
2.1946,0.30247,0
-0.15482,0.83953,0
0.78798,1.014,1
0.57287,1.8742,1
0.76124,0.41834,0
0.94689,0.81972,0
1.852,0.51501,0
-0.50139,0.06225,1
2.3937,0.61321,0
-0.089976,1.9663,1
-0.4837,0.45465,1
1.8275,-0.52724,0
0.44736,-1.1385,1
0.00062201,0.21257,1
1.4483,0.13392,0
1.7824,0.64223,0
1.6121,-1.124,0
2.5685,0.71004,0
0.40332,0.096588,1
1.5174,0.64654,0
3.5096,0.084608,0
1.6366,-0.70065,0
3.3908,0.12786,0
2.1686,0.58836,0
-0.10852,2.9338,1
-0.16039,0.6038,0
1.9161,0.96473,0
2.9328,-0.16801,0
1.8859,0.61585,0
2.5271,-0.28478,0
0.064753,0.39763,1
1.7002,-0.54613,0
2.1412,0.58391,0
0.89628,0.86562,1
0.43364,0.073176,1
1.6886,0.75017,0
1.6857,-0.31839,1
0.83289,1.5624,1
1.0428,0.21175,0
1.3292,-0.043036,0
0.2488,0.46717,0
0.98996,1.0488,1
1.4498,2.043,1
0.65393,-2.5832,0
-0.41193,0.6715,1
2.6638,0.5969,0
1.7973,0.77987,0
1.3424,-0.10983,0
0.88595,1.4234,0
1.4229,-0.036602,0
1.6961,-0.091094,0
0.63767,-0.4378,1
1.6229,-1.2455,0
2.5499,-1.0801,0
1.925,-0.21652,0
1.4252,-0.82957,0
1.1418,1.1472,0
1.5407,-0.38863,1
-0.13716,1.6048,1
1.9019,-0.19985,0
-0.52099,1.025,1
0.84693,0.47779,0
-0.63079,-0.65811,0
0.65584,-0.088167,0
2.0949,0.58406,0
1.1289,-0.75522,0
1.0018,1.0406,0
2.3296,1.2368,0
1.0886,-2.0081,0
2.4671,2.1183,0
1.4333,0.75591,1
0.72904,0.23939,1
1.0537,0.266,0
0.3435,2.4606,1
1.6605,-0.32277,1
0.58344,-0.41979,0
-0.070172,1.2732,1
1.6795,1.2224,0
-1.1599,1.2569,1
-0.96983,-1.1481,1
3.7026,-1.0709,0
1.1781,-0.28718,0
2.2712,-0.54621,0
1.2934,-0.86456,1
-0.68693,0.23154,1
0.17731,0.065927,1
-0.45741,-1.2736,1
0.58577,0.81159,1
0.0054555,-0.50072,1
1.9913,-0.1374,0
0.75825,-0.61935,1
1.7925,-1.5856,0
-0.73102,0.42773,1
1.5751,-0.92334,1
-0.012151,-0.15251,1
0.061784,-0.33557,0
1.0258,0.078548,1
0.017604,1.613,0
1.6628,-1.3764,0
0.1836,-0.37885,1
-0.20688,-0.14046,1
-0.15818,0.52641,0
0.93464,-0.87797,1
0.53532,0.68421,1
1.7474,1.0698,1
1.3224,1.0337,1
0.18867,0.39996,1
1.1992,-0.14057,0
-0.22767,-0.95579,0
-0.080314,3.1667,1
0.045601,-0.13055,1
1.3723,-0.068003,0
1.9125,2.5921,1
2.1084,-0.77517,1
0.29302,0.82008,1
0.5645,0.42016,1
2.2301,-0.54773,0
3.1497,2.1094,0
1.4192,2.5352,1
-2.1898,0.70174,1
0.19904,-0.80577,0
1.5299,1.2892,1
1.6365,-0.54976,0
-0.1311,1.2223,1
1.4552,1.2958,0
-2.1814,1.431,1
3.4511,-2.5015,0
2.4061,0.65508,0
-0.062072,0.60483,1
1.3539,0.22903,0
0.64401,-0.95482,0
1.7196,0.60084,1
0.40509,1.0801,1
-0.29195,-0.098285,1
1.4469,-1.3634,0
-1.9692,1.3822,1
