Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Direction
-0.406,-1.792,-2.408,1.763,-1.962,1.72395,1
1.991,-0.406,-1.792,-2.408,1.763,1.3649,1
1.128,1.991,-0.406,-1.792,-2.408,1.114,1
2.557,1.128,1.991,-0.406,-1.792,1.3142,-1
-2.443,2.557,1.128,1.991,-0.406,1.3334,-1
-0.463,-2.443,2.557,1.128,1.991,1.2345,1
-1.246,1.078,-0.463,-2.443,2.557,1.2549,-1
-3.439,-1.246,1.078,-0.463,-2.443,1.3861,-1
-0.29,-3.439,-1.246,1.078,-0.463,1.42559,1
4.368,-0.29,-3.439,-1.246,1.078,1.368,-1
-1.998,4.368,-0.29,-3.439,-1.246,1.2668,1
0.812,-1.998,4.368,-0.29,-3.439,1.0628,1
2.707,0.812,-1.998,4.368,-0.29,1.3496,-1
-0.213,2.707,0.812,-1.998,4.368,1.2903,1
1.51,-0.213,2.707,0.812,-1.998,1.102,-1
-0.323,1.51,-0.213,2.707,0.812,0.9139,1
1.028,-0.323,1.51,-0.213,2.707,1.1096,1
1.254,3.889,1.028,-0.323,1.51,1.4868,-1
-0.854,1.254,3.889,1.028,-0.323,1.3387,-1
-1.216,-1.498,-0.854,1.254,3.889,1.2165,1
1.594,-1.216,-1.498,-0.854,1.254,1.2036,1
1.501,0.47,1.594,-1.216,-1.498,1.0913,-1
-0.287,1.501,0.47,1.594,-1.216,1.2668,1
1.359,-0.287,1.501,0.47,1.594,1.1813,1
-1.487,0.078,1.359,-0.287,1.501,1.1379,1
1.444,-1.487,0.078,1.359,-0.287,1.0821,-1
-0.245,1.444,-1.487,0.078,1.359,0.949,-1
-0.183,-0.245,1.444,-1.487,0.078,1.0063,-1
-0.449,-0.183,-0.245,1.444,-1.487,1.1324,-1
-0.029,-0.449,-0.183,-0.245,1.444,1.0567,-1
-0.758,-0.029,-0.449,-0.183,-0.245,0.9062,1
0.261,-0.758,-0.029,-0.449,-0.183,0.8582,1
2.845,0.042,0.261,-0.758,-0.029,1.4053,1
0.272,2.845,0.042,0.261,-0.758,1.3556,1
0.269,0.272,2.845,0.042,0.261,1.1308,1
1.615,0.269,0.272,2.845,0.042,1.1749,-1
-0.263,1.615,0.269,0.272,2.845,1.2604,-1
-1.553,-0.263,1.615,0.269,0.272,1.1348,1
0.32,-1.553,-0.263,1.615,0.269,1.1007,-1
-0.779,-1.182,0.32,-1.553,-0.263,1.026,-1
-1.566,-0.779,-1.182,0.32,-1.553,1.1586,1
0.62,-1.566,-0.779,-1.182,0.32,1.2266,1
0.386,0.62,-1.566,-0.779,-1.182,1.015,1
0.511,0.386,0.62,-1.566,-0.779,0.8365,1
1.299,0.511,0.386,0.62,-1.566,1.1168,-1
0.546,-1.055,1.299,0.511,0.386,1.0896,-1
-0.836,-0.94,0.546,-1.055,1.299,0.8701,1
0.116,-0.836,-0.94,0.546,-1.055,1.1365,-1
-1.135,0.116,-0.836,-0.94,0.546,1.0636,-1
-1.75,-1.135,0.116,-0.836,-0.94,1.2429,-1
-0.452,-1.75,-1.135,0.116,-0.836,1.63555,-1
-0.488,-0.452,-1.75,-1.135,0.116,1.1116,1
0.343,-0.488,-0.452,-1.75,-1.135,1.1849,1
0.871,0.343,-0.488,-0.452,-1.75,1.3501,1
1.136,0.871,0.343,-0.488,-0.452,1.54682,-1
-0.551,-0.945,1.136,0.871,0.343,1.0501,-1
-0.151,-0.551,-0.945,1.136,0.871,1.1989,-1
-0.468,-0.151,-0.551,-0.945,1.136,1.1621,1
1.249,-0.468,-0.151,-0.551,-0.945,1.3273,-1
-0.148,1.249,-0.468,-0.151,-0.551,1.83236,1
1.008,-0.148,1.249,-0.468,-0.151,1.1283,-1
-0.184,1.008,-0.148,1.249,-0.468,0.62211,-1
-1.232,-0.184,1.008,-0.148,1.249,0.9349,-1
-0.113,-1.44,0.688,-2.35,-1.232,1.3841,1
-1.088,0.624,2.369,-0.113,-1.44,1.0398,1
0.997,-1.088,0.624,2.369,-0.113,1.2381,-1
-0.554,0.997,-1.088,0.624,2.369,1.3163,1
0.605,-0.554,0.997,-1.088,0.624,1.3435,-1
-0.343,0.605,-0.554,0.997,-1.088,1.1709,-1
-1.637,-0.343,0.605,-0.554,0.997,0.9869,-1
-1.627,-1.637,-0.343,0.605,-0.554,1.1987,1
1.608,-1.627,-1.637,-0.343,0.605,1.2807,1
1.045,1.608,-1.627,-1.637,-0.343,1.2139,1
0.24,1.045,1.608,-1.627,-1.637,1.0153,-1
-0.108,0.24,1.045,1.608,-1.627,0.9091,1
0.557,-0.108,0.24,1.045,1.608,1.1292,1
0.388,0.557,-0.108,0.24,1.045,1.3403,1
-0.524,0.396,0.388,0.557,-0.108,0.9399,-1
-1.142,-0.524,0.396,0.388,0.557,0.8117,1
0.327,-1.142,-0.524,0.396,0.388,1.012,-1
-1.733,0.327,-1.142,-0.524,0.396,1.1246,-1
0.569,-0.008,-1.733,0.327,-1.142,0.9609,1
0.095,0.569,-0.008,-1.733,0.327,0.8376,-1
-0.383,0.095,0.569,-0.008,-1.733,0.9646,-1
-0.734,-0.383,0.095,0.569,-0.008,1.0656,1
0.309,-0.734,-0.383,0.095,0.569,1.0554,-1
-1.666,0.309,-0.734,-0.383,0.095,0.9743,1
0.812,-1.666,0.309,-0.734,-0.383,0.8971,-1
-1.208,0.812,-1.666,0.309,-0.734,1.0416,1
0.696,-1.208,0.812,-1.666,0.309,1.1108,-1
-0.276,0.696,-1.208,0.812,-1.666,0.9862,1
-0.483,1.965,-0.276,0.696,-1.208,0.8426,-1
-1.501,-0.483,1.965,-0.276,0.696,0.9871,-1
-1.115,-1.501,-0.483,1.965,-0.276,0.9637,-1
-1.7,-1.115,-1.501,-0.483,1.965,1.157,1
0.403,-1.7,-1.115,-1.501,-0.483,0.9201,-1
-0.056,0.403,-1.7,-1.115,-1.501,1.1783,-1
-0.106,-0.056,0.403,-1.7,-1.115,1.3845,-1
-1.864,-2.239,-0.106,-0.056,0.403,1.4243,1
0.623,-1.864,-2.239,-0.106,-0.056,1.2766,-1
-0.58,-4.922,0.623,-1.864,-2.239,1.65041,-1
-1.611,-0.58,-4.922,0.623,-1.864,2.12055,-1
-3.106,-1.611,-0.58,-4.922,0.623,2.0048,-1
-1.903,-3.106,-1.611,-0.58,-4.922,2.3173,1
0.879,3.898,-1.903,-3.106,-1.611,1.6138,-1
-0.517,0.879,3.898,-1.903,-3.106,1.5191,1
2.192,1.149,-0.517,0.879,3.898,1.6315,-1
-0.23,2.192,1.149,-0.517,0.879,1.1756,1
1.231,-0.23,2.192,1.149,-0.517,1.2898,1
1.993,1.231,-0.23,2.192,1.149,1.6506,-1
-0.247,1.993,1.231,-0.23,2.192,1.6091,1
0.164,-0.247,1.993,1.231,-0.23,1.3017,-1
-0.834,0.164,-0.247,1.993,1.231,0.979,-1
-0.536,-0.834,0.164,-0.247,1.993,1.2278,1
-0.527,1.521,2.294,-0.536,-0.834,1.3314,-1
-0.153,-0.527,1.521,2.294,-0.536,1.0247,1
0.694,-0.153,-0.527,1.521,2.294,1.2105,-1
-0.787,-1.863,0.694,-0.153,-0.527,1.2629,1
0.456,-0.787,-1.863,0.694,-0.153,1.2949,1
1.53,0.456,-0.787,-1.863,0.694,1.1057,-1
-0.47,1.53,0.456,-0.787,-1.863,1.3173,1
1.372,0.039,-0.47,1.53,0.456,1.3644,1
0.411,1.372,0.039,-0.47,1.53,1.2445,-1
-2.382,0.411,1.372,0.039,-0.47,1.1061,-1
-1.717,-2.382,0.411,1.372,0.039,1.2974,-1
-0.001,-1.717,-2.382,0.411,1.372,1.3525,1
2.295,-0.001,-1.717,-2.382,0.411,1.3174,1
0.286,2.295,-0.001,-1.717,-2.382,1.1219,1
1.439,0.286,2.295,-0.001,-1.717,1.2677,1
1.453,1.439,0.286,2.295,-0.001,1.356,-1
0.158,0.246,-0.273,1.453,1.439,1.0938,-1
-0.177,0.158,0.246,-0.273,1.453,0.9916,1
1.856,-0.177,0.158,0.246,-0.273,1.3701,1
0.186,1.856,-0.177,0.158,0.246,1.4434,1
-0.314,0.09,0.186,1.856,-0.177,1.3374,1
0.615,1.171,-0.493,-0.73,1.09,1.1298,-1
-0.684,0.615,1.171,-0.493,-0.73,1.288,-1
-1.825,-0.684,0.615,1.171,-0.493,1.4237,1
-0.066,1.035,-1.825,-0.684,0.615,1.3436,-1
1.319,-0.838,-0.066,1.035,-1.825,1.3185,1
2.232,1.319,-0.838,-0.066,1.035,1.7653,-1
-0.278,2.232,1.319,-0.838,-0.066,1.4879,-1
-0.753,-0.278,2.232,1.319,-0.838,1.2482,-1
-1.587,-0.753,-0.278,2.232,1.319,1.2187,-1
-0.278,-1.587,-0.753,-0.278,2.232,1.3672,1
0.027,-0.278,-1.587,-0.753,-0.278,1.4497,-1
0.331,-1.556,0.027,-0.278,-1.587,1.3068,1
0.755,1.003,0.331,-1.556,0.027,1.354,1
0.581,0.755,1.003,0.331,-1.556,1.4849,-1
-0.838,0.581,0.755,1.003,0.331,1.4905,1
-0.021,0.435,-0.838,0.581,0.755,0.43967,1
0.412,-0.021,0.435,-0.838,0.581,0.7911,1
0.675,0.412,-0.021,0.435,-0.838,0.8763,1
0.336,0.675,0.412,-0.021,0.435,0.9174,-1
-1.115,0.336,0.675,0.412,-0.021,0.9436,1
0.574,-1.115,0.336,0.675,0.412,1.171,1
-0.65,0.621,0.918,0.574,-1.115,1.3083,-1
-0.359,-0.65,0.621,0.918,0.574,1.2588,-1
-0.48,-0.359,-0.65,0.621,0.918,1.452,1
0.122,-0.48,-0.359,-0.65,0.621,1.299,-1
-0.947,0.122,-0.48,-0.359,-0.65,1.2119,-1
-0.628,-0.947,0.122,-0.48,-0.359,1.2864,1
0.683,-0.628,-0.947,0.122,-0.48,1.3869,-1
-1.625,0.683,-0.628,-0.947,0.122,1.4825,1
1.003,-1.625,0.683,-0.628,-0.947,1.3801,-1
-0.992,1.003,-1.625,0.683,-0.628,1.3333,-1
0.352,0.792,-0.733,-0.992,1.003,1.5528,1
0.1,0.352,0.792,-0.733,-0.992,1.3451,-1
-0.019,0.1,0.352,0.792,-0.733,1.1868,-1
-2.861,-0.019,0.1,0.352,0.792,1.812,1
1.175,-2.861,-0.019,0.1,0.352,2.0196,1
-0.708,1.493,1.175,-2.861,-0.019,1.3672,-1
-2.474,-0.708,1.493,1.175,-2.861,1.4376,-1
-0.404,-2.474,-0.708,1.493,1.175,1.7783,-1
-0.308,-0.597,-0.404,-2.474,-0.708,1.4416,1
-0.399,1.434,1.486,-0.308,-0.597,1.0942,1
0.994,-0.399,1.434,1.486,-0.308,1.2159,-1
-0.181,0.994,-0.399,1.434,1.486,1.2725,-1
-1.887,-1.102,-0.181,0.994,-0.399,1.1899,1
1.351,-1.887,-1.102,-0.181,0.994,1.4389,-1
-1.551,1.351,-1.887,-1.102,-0.181,1.3816,1
-0.005,1.798,0.822,-1.551,1.351,1.3092,1
0.046,-0.005,1.798,0.822,-1.551,1.3938,-1
-0.285,0.046,-0.005,1.798,0.822,1.3922,1
2.263,-0.285,0.046,-0.005,1.798,1.4565,1
1.949,2.263,-0.285,0.046,-0.005,1.5943,-1
-0.667,1.949,2.263,-0.285,0.046,1.5493,1
-0.45,1.451,-0.667,1.949,2.263,1.5174,1
0.585,-0.45,1.451,-0.667,1.949,1.412,1
0.339,0.585,-0.45,1.451,-0.667,1.2102,-1
-0.229,0.339,0.585,-0.45,1.451,1.3044,-1
-0.986,-0.229,0.339,0.585,-0.45,1.354,-1
-0.091,-0.986,-0.229,0.339,0.585,1.2088,1
1.138,-0.091,-0.986,-0.229,0.339,1.4939,-1
-0.052,1.138,-0.091,-0.986,-0.229,1.1695,1
0.407,-0.052,1.138,-0.091,-0.986,1.255,-1
-1.576,0.407,-0.052,1.138,-0.091,1.3049,1
0.151,-1.576,0.407,-0.052,1.138,1.3392,-1
-0.424,0.151,-1.576,0.407,-0.052,1.2433,-1
0.585,-1.465,-0.424,0.151,-1.576,1.2236,1
0.535,0.585,-1.465,-0.424,0.151,1.1801,1
-0.074,0.246,0.535,0.585,-1.465,1.0509,-1
-0.999,-0.853,-0.074,0.246,0.535,1.2197,1
0.084,-0.999,-0.853,-0.074,0.246,1.2838,-1
-0.321,0.084,-0.999,-0.853,-0.074,1.1102,1
0.228,-0.321,0.084,-0.999,-0.853,1.0953,-1
-0.666,0.228,-0.321,0.084,-0.999,1.2354,1
1.133,-0.666,0.228,-0.321,0.084,1.4479,-1
0.663,-2.369,1.133,-0.666,0.228,1.2821,-1
-0.204,2.342,-0.761,0.663,-2.369,1.3769,-1
0.062,-0.142,-0.204,2.342,-0.761,1.185,-1
-0.71,-0.62,-1.541,0.062,-0.142,1.3732,-1
-0.152,-0.71,-0.62,-1.541,0.062,1.5174,-1
-1.389,-0.152,-0.71,-0.62,-1.541,1.3742,-1
-1.01,-1.389,-0.152,-0.71,-0.62,1.3147,1
1.077,-1.01,-1.389,-0.152,-0.71,1.6286,1
0.886,1.077,-1.01,-1.389,-0.152,1.4514,-1
-0.175,0.886,1.077,-1.01,-1.389,1.364,-1
-1.026,-0.175,0.886,1.077,-1.01,1.2845,-1
-1.934,-1.026,-0.175,0.886,1.077,1.1226,-1
-0.302,-1.934,-1.026,-0.175,0.886,1.3547,1
3.75,-0.302,-1.934,-1.026,-0.175,1.502,-1
-1.455,3.75,-0.302,-1.934,-1.026,1.153,-1
-1.679,-1.455,3.75,-0.302,-1.934,1.1719,1
1.855,-1.679,-1.455,3.75,-0.302,1.0886,1
-0.566,2.114,1.855,-1.679,-1.455,1.4202,1
0.761,0.656,-0.566,2.114,1.855,1.2744,-1
-1.329,0.761,0.656,-0.566,2.114,0.9898,-1
-1.099,-1.329,0.761,0.656,-0.566,1.2005,1
0.569,-1.099,-1.329,0.761,0.656,1.1363,1
1.018,0.569,-1.099,-1.329,0.761,1.1929,-1
-1.209,1.018,0.569,-1.099,-1.329,0.8854,-1
-0.855,-1.209,1.018,0.569,-1.099,0.9965,-1
-0.641,-0.855,-1.209,1.018,0.569,1.0818,-1
-0.281,-0.641,-0.855,-1.209,1.018,1.2866,1
0.233,-0.281,-0.641,-0.855,-1.209,1.2773,-1
0.312,-0.157,-1.976,0.885,0.001,1.2262,-1
0.657,-1.663,0.312,-0.157,-1.976,1.79572,-1
-1.049,0.657,-1.663,0.312,-0.157,1.4055,-1
-0.227,-1.049,0.657,-1.663,0.312,1.549,1
2.869,-0.227,-1.049,0.657,-1.663,1.2366,1
0.094,2.869,-0.227,-1.049,0.657,1.1931,-1
-1.654,0.094,2.869,-0.227,-1.049,1.3361,-1
-1.704,-1.343,-1.654,0.094,2.869,1.4972,1
0.362,-1.704,-1.343,-1.654,0.094,1.5526,-1
-1.67,0.362,-1.704,-1.343,-1.654,1.5137,-1
-2.139,-0.083,1.758,-0.267,-1.67,1.4255,-1
-2.123,-2.139,-0.083,1.758,-0.267,1.823,1
0.622,-2.123,-2.139,-0.083,1.758,1.5278,1
3.673,0.622,-2.123,-2.139,-0.083,0.6994,-1
-1.218,3.673,0.622,-2.123,-2.139,1.1844,-1
-2.472,-1.218,3.673,0.622,-2.123,1.3489,-1
-3.396,-2.472,-1.218,3.673,0.622,1.8169,1
0.75,-3.396,-2.472,-1.218,3.673,2.08048,-1
-0.645,0.75,-3.396,-2.472,-1.218,1.6074,-1
-0.376,-0.645,0.75,-3.396,-2.472,2.5748,-1
-1.851,-0.376,-0.645,0.75,-3.396,1.8437,1
0.566,-1.851,-0.376,-0.645,0.75,2.5665,-1
-2.702,0.566,-1.851,-0.376,-0.645,1.7363,-1
-3.835,-2.702,0.566,-1.851,-0.376,2.6541,-1
-2.702,-3.291,-3.835,-2.702,0.566,2.44102,1
-0.563,5.733,-2.702,-3.291,-3.835,2.4247,1
1.688,-0.563,5.733,-2.702,-3.291,1.7961,1
5.408,1.688,-0.563,5.733,-2.702,1.77865,1
0.425,5.408,1.688,-0.563,5.733,1.82609,1
0.979,0.425,5.408,1.688,-0.563,2.04936,-1
-2.957,0.979,0.425,5.408,1.688,1.6722,-1
-2.308,-2.957,0.979,0.425,5.408,1.5381,-1
-3.43,-2.308,-2.957,0.979,0.425,1.4255,1
2.992,-3.43,-2.308,-2.957,0.979,1.5141,1
2.001,2.992,-3.43,-2.308,-2.957,1.4904,1
3.272,2.001,2.992,-3.43,-2.308,1.6467,1
0.351,3.272,2.001,2.992,-3.43,1.2949,-1
-2.168,-0.533,0.351,3.272,2.001,1.2977,1
4.005,-2.168,-0.533,0.351,3.272,1.5338,1
1.156,4.005,-2.168,-0.533,0.351,1.5051,-1
2.361,-0.159,1.156,4.005,-2.168,1.2998,-1
-1.396,2.361,-0.159,1.156,4.005,1.3085,1
1.273,-1.396,2.361,-0.159,1.156,1.3531,1
1.405,1.273,-1.396,2.361,-0.159,1.373,-1
-2.269,1.405,1.273,-1.396,2.361,1.0715,1
0.754,-2.269,1.405,1.273,-1.396,1.0169,-1
-1.385,0.754,-2.269,1.405,1.273,1.3077,-1
-0.008,-1.813,-1.385,0.754,-2.269,1.2711,-1
-0.188,-0.008,-1.813,-1.385,0.754,0.9299,-1
-4.154,-0.188,-0.008,-1.813,-1.385,1.2898,1
1.011,1.68,-1.595,1.752,-4.154,1.1306,1
0.733,1.011,1.68,-1.595,1.752,1.1864,-1
-0.014,0.733,1.011,1.68,-1.595,0.8466,-1
-2.478,-0.014,0.733,1.011,1.68,1.1916,1
0.327,-2.478,-0.014,0.733,1.011,1.271,1
-1.973,0.145,0.327,-2.478,-0.014,1.4486,-1
-0.465,-1.973,0.145,0.327,-2.478,1.501,-1
-3.006,-0.465,-1.973,0.145,0.327,1.524,1
0.245,-3.006,-0.465,-1.973,0.145,1.7928,-1
2.486,-1.728,-1.383,0.245,-3.006,1.6515,1
1.821,2.486,-1.728,-1.383,0.245,1.65,-1
-3.226,1.821,2.486,-1.728,-1.383,1.5073,-1
-1.461,-3.226,1.821,2.486,-1.728,1.72187,1
4.002,-1.461,-3.226,1.821,2.486,1.7809,-1
-2.359,4.002,-1.461,-3.226,1.821,1.6689,-1
-1.082,-2.359,4.002,-1.461,-3.226,1.6745,-1
-1.911,-2.243,-1.082,-2.359,4.002,1.5765,1
1.69,-1.911,-2.243,-1.082,-2.359,1.93843,-1
-2.729,1.69,-1.911,-2.243,-1.082,1.88503,1
3.497,-2.729,1.69,-1.911,-2.243,2.09023,1
3.906,3.497,-2.729,1.69,-1.911,1.85413,1
0.733,3.906,3.497,-2.729,1.69,1.2003,1
-2.411,4.734,0.733,3.906,3.497,1.585,1
2.23,-2.411,4.734,0.733,3.906,1.78039,1
0.59,2.23,-2.411,4.734,0.733,1.4231,1
1.733,0.59,2.23,-2.411,4.734,1.447,-1
-1.063,1.733,0.59,2.23,-2.411,1.5492,1
-1.522,0.672,-1.063,1.733,0.59,1.70057,1
1.717,-1.522,0.672,-1.063,1.733,1.3404,-1
-0.827,1.717,-1.522,0.672,-1.063,1.3826,-1
-0.908,-0.827,1.717,-1.522,0.672,1.5297,1
0.97,-0.908,-0.827,1.717,-1.522,1.4223,-1
-0.556,0.97,-0.908,-0.827,1.717,1.6413,1
1.716,-0.556,0.97,-0.908,-0.827,1.4504,1
0.82,1.716,-0.556,0.97,-0.908,1.6459,1
0.775,0.82,1.716,-0.556,0.97,1.3541,1
0.914,0.775,0.82,1.716,-0.556,1.674,-1
-2.285,0.914,0.775,0.82,1.716,1.4669,-1
-0.876,-2.285,0.914,0.775,0.82,1.4465,-1
-2.073,-0.876,-2.285,0.914,0.775,1.113,1
0.772,-2.073,-0.876,-2.285,0.914,1.3771,-1
-0.048,0.772,-2.073,-0.876,-2.285,1.4634,1
2.463,-0.048,0.772,-2.073,-0.876,1.519,1
-1.041,0.615,2.463,-0.048,0.772,1.2826,-1
-0.402,-1.041,0.615,2.463,-0.048,1.3374,1
1.941,-0.402,-1.041,0.615,2.463,1.5173,1
2.145,1.941,-0.402,-1.041,0.615,2.4151,-1
-2.097,0.249,-0.344,2.145,1.941,1.5436,1
2.799,-2.097,0.249,-0.344,2.145,1.3503,-1
-0.273,2.799,-2.097,0.249,-0.344,0.64346,-1
-0.19,-0.273,2.799,-2.097,0.249,1.612,-1
-1.475,-0.19,-0.273,2.799,-2.097,1.4884,-1
-0.344,-1.475,-0.19,-0.273,2.799,1.5889,-1
-1.202,-0.344,-1.475,-0.19,-0.273,1.2502,1
0.627,-1.202,-0.344,-1.475,-0.19,1.2411,-1
1.396,-2.218,0.627,-1.202,-0.344,1.2866,1
0.056,1.396,-2.218,0.627,-1.202,1.2851,-1
-1.342,-0.373,0.056,1.396,-2.218,1.3308,1
-0.814,2.352,-1.342,-0.373,0.056,1.2518,-1
-1.315,-0.814,2.352,-1.342,-0.373,1.4462,-1
-0.771,-1.315,-0.814,2.352,-1.342,1.3859,1
1.302,-0.771,-1.315,-0.814,2.352,1.78273,1
-0.547,0.181,1.302,-0.771,-1.315,0.45831,-1
-1.603,-0.315,-0.547,0.181,1.302,0.7584,1
0.456,-1.603,-0.315,-0.547,0.181,1.0578,1
0.049,0.456,-1.603,-0.315,-0.547,1.0885,1
3.32,0.049,0.456,-1.603,-0.315,1.2292,-1
-0.048,3.32,0.049,0.456,-1.603,1.1308,1
2.247,-0.048,3.32,0.049,0.456,1.4359,-1
-0.654,2.247,-0.048,3.32,0.049,1.5452,-1
-1.409,-0.654,2.247,-0.048,3.32,1.4676,1
-0.141,0,1.939,-1.409,-0.654,1.3963,1
0.583,-0.141,0,1.939,-1.409,1.3794,-1
-1.443,0.583,-0.141,0,1.939,1.4321,-1
-0.394,-1.443,0.583,-0.141,0,1.5346,-1
-1.402,-0.394,-1.443,0.583,-0.141,1.3582,-1
-1.043,-1.57,-1.402,-0.394,-1.443,1.5608,1
1.022,-1.043,-1.57,-1.402,-0.394,1.74455,-1
-2.923,1.022,-1.043,-1.57,-1.402,1.5748,-1
-1.616,-2.923,1.022,-1.043,-1.57,1.4359,1
1.305,-1.616,-2.923,1.022,-1.043,1.4591,1
0.678,1.305,-1.616,-2.923,1.022,1.5954,-1
-2.285,0.678,1.305,-1.616,-2.923,1.5103,1
1.313,-2.285,0.678,1.305,-1.616,1.57853,1
0.54,1.313,-2.285,0.678,1.305,1.2585,-1
-1.409,0.54,1.313,-2.285,0.678,1.4516,-1
-0.544,-1.409,0.54,1.313,-2.285,1.4508,-1
-1.009,-0.645,-0.544,-1.409,0.54,1.2768,1
0.757,-1.009,-0.645,-0.544,-1.409,1.2382,-1
-0.81,0.757,-1.009,-0.645,-0.544,1.307,-1
-1.269,-0.81,0.757,-1.009,-0.645,1.2605,-1
-0.16,-1.269,-0.81,0.757,-1.009,1.4893,1
2.143,-0.16,-1.269,-0.81,0.757,1.4046,1
1.95,2.143,-0.16,-1.269,-0.81,1.2508,-1
-0.71,1.95,2.143,-0.16,-1.269,1.0756,-1
1.322,-0.95,-0.71,1.95,2.143,1.3982,-1
-1.314,0.719,-1.838,1.322,-0.95,1.3744,1
1.176,-1.314,0.719,-1.838,1.322,1.2878,1
0.462,1.176,-1.314,0.719,-1.838,1.3733,-1
-0.754,0.462,1.176,-1.314,0.719,1.2089,-1
-1.536,-0.754,0.462,1.176,-1.314,1.2566,1
0.826,-0.934,0.956,-1.536,-0.754,1.3685,-1
-2.583,0.826,-0.934,0.956,-1.536,1.255,-1
0.165,3.446,0.432,-0.836,-2.583,1.5419,1
3.543,0.165,3.446,0.432,-0.836,1.70042,1
0.874,0.424,3.543,0.165,3.446,1.4734,1
0.189,0.874,0.424,3.543,0.165,1.4391,1
2.298,0.189,0.874,0.424,3.543,1.88371,-1
-3.523,2.298,0.189,0.874,0.424,1.293,1
-0.548,1.216,-3.523,2.298,0.189,1.3197,-1
-0.164,-0.548,1.216,-3.523,2.298,1.2329,-1
-0.578,-0.164,-0.548,1.216,-3.523,1.227,-1
-1.774,-0.578,-0.164,-0.548,1.216,1.4955,1
1.214,-1.774,-0.578,-0.164,-0.548,1.4616,1
2.612,1.214,-1.774,-0.578,-0.164,1.5898,-1
-0.505,2.612,1.214,-1.774,-0.578,1.3395,1
0.274,-0.505,2.612,1.214,-1.774,1.2412,1
0.123,0.274,-0.505,2.612,1.214,1.494,-1
-1.4,-0.186,0.123,0.274,-0.505,1.2937,1
-0.376,0.646,-1.4,-0.186,0.123,1.1416,1
1.95,-0.376,0.646,-1.4,-0.186,1.131,1
-1.224,0.63,1.95,-0.376,0.646,1.5876,1
-0.176,1.554,-1.224,0.63,1.95,1.1187,1
2.17,-0.176,1.554,-1.224,0.63,1.6312,1
0.839,2.17,-0.176,1.554,-1.224,1.6672,-1
-0.826,0.839,2.17,-0.176,1.554,1.6481,-1
1.783,-1.385,-0.826,0.839,2.17,1.273,1
0.328,1.783,-1.385,-0.826,0.839,1.5256,-1
-0.1,0.328,1.783,-1.385,-0.826,1.78851,-1
-0.068,-0.1,0.328,1.783,-1.385,1.3975,1
1.504,-0.068,-0.1,0.328,1.783,1.5543,-1
-0.38,1.504,-0.068,-0.1,0.328,1.4463,1
0.846,-0.38,1.504,-0.068,-0.1,1.6496,-1
-0.51,0.846,-0.38,1.504,-0.068,1.5319,-1
-1.006,-0.51,0.846,-0.38,1.504,1.3796,1
1.428,-1.006,-0.51,0.846,-0.38,1.3261,1
-0.297,1.253,1.428,-1.006,-0.51,1.4181,-1
-0.32,-0.297,1.253,1.428,-1.006,1.4018,1
0.787,-0.32,-0.297,1.253,1.428,1.5087,-1
